beat_index,rr_raw_ms,instantaneous_hr_bpm,rr_clean_ms,artifact_interpolated
1,766.6666666666667,78.26,1018.8295003476107,True
2,1033.3333333333335,58.06,1018.8295003476107,False
3,1000.0,60.0,1000.0,False
4,900.0,66.67,900.0,False
5,600.0,100.0,740.5852498261954,True
6,633.3333333333333,94.74,677.5892539490053,False
7,1266.6666666666665,47.37,677.5892539490053,True
8,600.0,100.0,819.4420260302969,True
9,966.6666666666666,62.07,966.6666666666666,False
10,1233.3333333333335,48.65,1044.2551056056132,True
11,666.6666666666666,90.0,1044.2551056056132,True
12,1800.0,33.33,983.1786125679138,True
13,866.6666666666667,69.23,866.6666666666667,False
14,600.0,100.0,717.2561977748627,True
15,1166.6666666666667,51.43,594.2667950007452,True
16,566.6666666666666,105.88,594.2667950007452,False
17,533.3333333333334,112.5,675.7986873346756,True
18,1566.6666666666667,38.3,852.5043965256091,True
19,1000.0,60.0,1000.0,False
20,1033.3333333333335,58.06,1000.0,False
21,1000.0,60.0,1033.3333333333335,False
22,1033.3333333333335,58.06,1000.0,False
23,766.6666666666667,78.26,933.3333333333334,False
24,933.3333333333334,64.29,900.0,False
25,900.0,66.67,900.0,False
26,866.6666666666667,69.23,900.0,False
27,1566.6666666666667,38.3,913.480668277448,True
28,1033.3333333333335,58.06,1033.3333333333335,False
29,1133.3333333333333,52.94,1033.3333333333335,False
30,1000.0,60.0,1100.0,False
31,1100.0,54.55,1100.0,False
32,633.3333333333333,94.74,1166.6666666666667,True
33,1166.6666666666667,51.43,1166.6666666666667,False
34,700.0,85.71,1104.6046651902443,True
35,1033.3333333333335,58.06,1033.3333333333335,False
36,933.3333333333334,64.29,933.3333333333334,False
37,766.6666666666667,78.26,933.3333333333334,False
38,933.3333333333334,64.29,933.3333333333334,False
39,933.3333333333334,64.29,933.3333333333334,False
40,1100.0,54.55,1052.3373460086484,False
41,566.6666666666666,105.88,1052.3373460086484,True
42,1000.0,60.0,1052.3373460086484,False
43,1200.0,50.0,1200.0,False
44,666.6666666666666,90.0,1200.0,True
45,1566.6666666666667,38.3,1200.0,True
46,1033.3333333333335,58.06,1033.3333333333335,False
47,733.3333333333333,81.82,797.6729164707102,True
48,933.3333333333334,64.29,616.0169939869886,True
49,600.0,100.0,616.0169939869886,False
50,766.6666666666667,78.26,766.6666666666667,False
51,533.3333333333334,112.5,849.5106294769582,True
52,866.6666666666667,69.23,866.6666666666667,False
53,900.0,66.67,900.0,False
54,933.3333333333334,64.29,933.3333333333334,False
55,966.6666666666666,62.07,933.3333333333334,False
56,900.0,66.67,933.3333333333334,False
57,933.3333333333334,64.29,933.3333333333334,False
58,1000.0,60.0,933.3333333333334,False
59,833.3333333333334,72.0,1000.0,False
60,1033.3333333333335,58.06,1033.3333333333335,False
61,2033.3333333333333,29.51,1033.3333333333335,True
62,1000.0,60.0,1066.6666666666667,False
63,1066.6666666666667,56.25,1000.0,False
